Infinitive,Je,Tu,Il/Elle/On,Nous,Vous,Ils/Elles,Past Participle,Imparfait (Root),Simple Future (Root)
être,suis,es,est,sommes,êtes,sont,été,ét,ser
avoir,ai,as,a,avons,avez,ont,eu,av,aur
