Infinitive,Past Participle
Devenir,devenu
Revenir,revenu
Monter,monté
Retourner,retourné
Sortir,sorti
Venir,venu
Arriver,arrivé
Naître,né
Descendre,descendu
Entrer,entré
Rentrer,rentré
Tomber,tombé
Aller,allé
Mourir,mort
Partir,parti
